二人以上の世帯_支出金額[円],,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年
表側連番,階層,大分類,中分類,小分類,品目分類,(平成12年),(平成13年),(平成14年),(平成15年),(平成16年),(平成17年),(平成18年),(平成19年),(平成20年),(平成21年),(平成22年),(平成23年),(平成24年),(平成25年),(平成26年),(平成27年),(平成28年),(平成29年),(平成30年),(令和元年),(令和２年),(令和３年)
33,4,1,5,3,大豆加工品,15645,15305,15471,15144,15118,14476,14410,14398,14205,13765,13270,12883,12685,12815,12830,13304,13419,13291,13358,13191,13880,13235
34,4,1,5,4,他の野菜・海藻加工品,18105,17579,17084,16313,16076,15416,15000,14894,14686,14182,13777,13874,13436,13174,13340,13345,13536,13669,13626,13294,13911,13604
35,3,1,6,-,果物,44647,44100,43018,39915,40135,39213,37305,39063,37755,36953,36412,35758,36959,36602,37524,38919,39697,39119,38285,39032,40630,40628
36,4,1,6,1,生鮮果物,42544,42025,41058,37949,38266,37312,35468,37298,36117,35203,34582,33833,34832,34322,34962,36141,36845,36052,35061,35742,36957,36942
37,4,1,6,2,果物加工品,2103,2075,1959,1965,1870,1900,1837,1765,1638,1750,1830,1925,2127,2280,2562,2778,2852,3066,3224,3290,3673,3686
38,3,1,7,-,油脂・調味料,40637,39404,39493,39211,39190,38544,38254,38769,40561,40906,39955,40250,40147,39994,41027,42507,42880,43170,43444,43649,47749,46701
39,4,1,7,1,油脂,4314,4168,4232,4129,4259,4181,4057,4202,4733,4480,4097,3998,4014,4131,4316,4990,4631,4593,4530,4725,5122,5013
40,4,1,7,2,調味料,36323,35236,35261,35082,34930,34364,34197,34567,35828,36426,35858,36252,36134,35862,36711,37517,38249,38577,38914,38923,42627,41689
41,3,1,8,-,菓子類,78532,77809,77271,76543,75500,74834,75463,76160,78970,80402,78861,76801,77779,78948,80127,83027,83472,83087,83916,87469,85534,88195
42,3,1,9,-,調理食品,99691,101421,100221,101021,99578,101044,101904,100909,98566,98470,99866,101930,104615,105033,108066,112625,118296,120000,122930,128386,132494,139876
43,4,1,9,1,主食的調理食品,38220,39348,39605,39779,39738,40754,40966,41099,41193,40680,40954,42617,43558,44240,44976,46959,49476,49769,50926,53911,55424,59326
44,4,1,9,2,他の調理食品,61471,62073,60616,61242,59840,60290,60938,59810,57373,57791,58913,59313,61057,60793,63090,65666,68820,70231,72004,74475,77070,80549
45,3,1,10,-,飲料,46237,45805,45930,45437,46738,47398,46705,47653,46218,46313,47270,48598,49548,50242,49783,51096,53074,53589,55008,58174,59788,60962
46,4,1,10,1,茶類,13278,13340,13198,13153,13273,13340,13027,13203,12895,12638,12525,12487,12377,12555,12320,12284,12887,12852,13253,13948,13921,13818
47,4,1,10,2,コーヒー・ココア,8673,8403,8523,8592,8414,8498,8748,8754,8829,9162,9115,9320,9364,9836,10233,11099,11275,11267,11129,11771,12195,12550
48,4,1,10,3,他の飲料,24285,24062,24210,23692,25052,25560,24931,25696,24494,24513,25629,26791,27807,27851,27230,27712,28913,29470,30626,32455,33672,34594
49,3,1,11,-,酒類,49994,48052,47502,46400,46011,45671,43476,44872,45071,43488,42792,41156,40569,42064,42041,41300,40909,40977,40329,40721,46276,45230
50,3,1,12,-,外食,173430,165943,167804,161659,163349,161312,159675,164860,164893,161314,160230,154549,157668,165246,166737,169626,168067,168646,171571,176917,129726,125423
51,4,1,12,1,一般外食,160088,152939,155329,150005,151184,149920,148112,152817,153556,149097,148183,142976,146359,154533,155988,159167,158011,158690,161488,166712,120921,115296
52,4,1,12,2,学校給食,13342,13004,12475,11654,12165,11392,11563,12043,11338,12217,12048,11573,11309,10714,10749,10459,10056,9955,10082,10205,8805,10128
53,2,2,-,-,住居,246334,236217,239593,240454,230797,231145,217444,215332,202858,204356,218300,226547,218888,219354,215349,215278,200182,198771,203041,205235,208488,220051
54,3,2,1,-,家賃地代,138445,131006,130277,133206,132396,131066,129294,122336,112641,118431,121955,126870,116692,107247,105569,106195,99841,93814,101818,97141,98161,104914
55,3,2,2,-,設備修繕・維持,107890,105212,109315,107248,98401,100079,88150,92996,90217,85925,96346,99677,102195,112107,109780,109082,100341,104957,101224,108093,110327,115137
56,4,2,2,1,設備材料,23042,21424,28388,32567,30840,30465,32424,30676,30855,26089,27947,36221,33243,36087,33971,31564,34251,30975,31914,33123,37105,39347
57,4,2,2,2,工事その他のサービス,84848,83788,80928,74682,67561,69614,55726,62320,59363,59835,68398,63456,68952,76019,75808,77518,66090,73982,69310,74971,73222,75790
58,2,3,-,-,光熱・水道,259546,258353,254067,251066,252143,257940,267346,261232,273156,260229,263423,263466,273793,278897,285604,278372,254127,258427,264237,263408,262034,258371
59,3,3,1,-,電気代,116180,112948,112618,108912,111627,110603,113545,111014,117410,115758,118204,115092,122382,128086,134441,132715,121196,123739,129175,129905,128050,123804
60,3,3,2,-,ガス代,70660,70444,68508,69221,66431,66786,69236,68177,71647,68431,66171,65390,67925,66948,68510,67918,58768,56698,57118,58230,56747,55778
61,3,3,3,-,他の光熱,15194,16923,14187,14604,14068,19947,23731,20955,23519,15762,18461,22020,22514,22012,21251,15082,12022,15607,16690,14749,14178,13849
62,3,3,4,-,上下水道料,57512,58039,58754,58329,60018,60603,60834,61087,60580,60279,60587,60964,60972,61852,61402,62657,62141,62384,61253,60524,63058,64940
63,2,4,-,-,家具・家事用品,139148,141453,132398,129177,124814,125104,121201,120865,124285,124173,126895,124775,125361,127189,131744,128729,127355,129948,133127,140598,152497,145207
64,3,4,1,-,家庭用耐久財,43968,48205,41908,40795,39446,40303,38449,37473,39304,40028,44584,40051,38997,42217,43764,41199,40192,42277,45017,48512,52610,48200
65,4,4,1,1,家事用耐久財,21495,22753,20517,20121,20989,20906,21013,20648,20752,21641,23411,21059,19373,20690,22854,20868,20235,22183,22917,25208,27420,25661
66,4,4,1,2,冷暖房用器具,13236,14769,12639,11563,10605,11814,10692,10300,11747,11754,15127,13123,13657,15322,14065,13916,13923,13417,15871,16619,17550,16910
67,4,4,1,3,一般家具,9236,10683,8753,9112,7853,7582,6743,6525,6806,6633,6046,5870,5966,6204,6845,6414,6034,6676,6229,6685,7640,5629
68,3,4,2,-,室内装備・装飾品,14175,13843,13724,12703,12128,12127,10650,10685,10309,9852,8596,9270,10875,9760,9587,9911,9115,8953,7649,7915,7898,8227
69,3,4,3,-,寝具類,11761,11754,10181,10419,9877,10316,9756,9336,9339,8443,8684,9272,9732,9286,10420,9876,9329,9057,10027,9981,10721,10032
70,3,4,4,-,家事雑貨,30122,29053,28806,26987,25646,25848,25092,25711,26264,26224,25709,26210,26383,25392,25735,26187,25498,26001,26314,27346,28486,28174
71,3,4,5,-,家事用消耗品,26829,26140,26082,27032,25939,25667,26149,26877,27668,28222,27854,28859,28835,29916,31543,31624,33192,33535,34266,36593,42119,40683
72,3,4,6,-,家事サービス,12292,12457,11696,11241,11778,10842,11104,10784,11401,11403,11468,11112,10539,10618,10694,9932,10028,10125,9854,10250,10663,9892
73,2,5,-,-,被服及び履物,206742,192605,185982,177083,171777,169921,163107,164874,159505,152923,146350,144723,145775,149555,152642,144985,138068,137673,136613,135677,110097,108751
74,3,5,1,-,和服,9394,8212,6251,6930,6821,6286,4670,4792,4175,4005,3261,3669,3215,2486,3116,2506,1770,2622,1891,1861,1395,2066
75,3,5,2,-,洋服,80243,75814,73027,69938,66571,64825,64408,65126,62737,59255,57383,54985,55695,58973,59525,57095,54067,54118,55300,54973,43886,42610
76,4,5,2,1,男子用洋服,25040,23784,22733,22201,20685,20977,20125,21072,19293,17560,17788,16473,17168,17863,18467,17082,16818,17249,17458,17377,13346,13602
77,4,5,2,2,婦人用洋服,44517,41899,40718,38211,36620,35506,35312,35413,34759,33453,31727,30492,30634,33302,32816,32397,29844,29478,30603,30424,24043,23244
78,4,5,2,3,子供用洋服,10686,10130,9576,9526,9266,8342,8972,8641,8685,8242,7868,8020,7893,7808,8242,7616,7405,7391,7239,7173,6497,5764
79,3,5,3,-,シャツ・セーター類,42174,38913,38089,36807,37366,36773,34441,34772,33115,31302,29904,30433,30465,31695,31866,30379,28859,28087,26951,26822,21256,21593
80,4,5,3,1,男子用シャツ・セーター類,13170,12238,11700,11262,11353,11372,10671,10663,10108,9577,9139,9318,9214,9657,9813,9217,8902,8738,8265,8515,6681,6821
81,4,5,3,2,婦人用シャツ・セーター類,25191,23229,23163,22245,22688,22117,20552,21196,20003,18979,18243,18576,18846,19484,19484,18728,17633,16972,16357,15997,12461,12855
82,4,5,3,3,子供用シャツ・セーター類,3813,3446,3226,3300,3325,3283,3217,2913,3004,2745,2523,2539,2404,2554,2569,2434,2324,2377,2329,2310,2114,1916
83,3,5,4,-,下着類,19042,17325,17303,16252,15426,15965,15140,14819,14477,14027,13630,13962,13821,13575,13925,12787,12809,12749,12770,12681,11458,11395
84,4,5,4,1,男子用下着類,6239,5736,5643,5211,4881,5157,4827,4801,4716,4558,4473,4636,4696,4639,4593,4203,4279,4192,3981,3836,3433,3505
85,4,5,4,2,婦人用下着類,10448,9503,9583,9199,8828,9054,8614,8399,8169,7890,7598,7748,7623,7418,7746,7063,6988,7048,7188,7251,6546,6554
86,4,5,4,3,子供用下着類,2355,2086,2077,1841,1717,1754,1699,1619,1592,1579,1558,1577,1502,1518,1586,1521,1542,1510,1602,1594,1479,1336
87,3,5,5,-,生地・糸類,3546,3262,2824,2594,2205,2132,2187,2310,1992,1974,1757,1717,1811,1614,1749,1554,1473,1588,1440,1411,1682,1299
88,3,5,6,-,他の被服,15549,14835,13946,13164,12797,13179,12587,12842,12882,12817,12121,12232,12642,12640,12796,11961,10865,11053,11103,10847,8942,8767
89,3,5,7,-,履物類,21812,20777,21022,19047,18365,19022,18407,18983,19007,19226,18378,18309,18460,19559,20397,19857,19336,18902,18711,18711,14781,14821
90,3,5,8,-,被服関連サービス,14982,13468,13520,12353,12225,11739,11267,11231,11119,10318,9916,9416,9666,9014,9267,8846,8890,8554,8446,8369,6697,6200
91,2,6,-,-,保健医療,137732,140785,140675,150593,148002,157447,154845,158546,152940,157544,151227,153643,154390,154196,155354,153126,155705,155449,159937,168124,171554,171768
92,3,6,1,-,医薬品,23614,23608,24388,23837,22355,22192,21179,20884,21162,25123,27722,28289,28533,28051,27957,28754,28828,29269,28606,31027,31829,30969
93,3,6,2,-,健康保持用摂取品,8232,11358,10498,13253,15041,17060,14071,13589,13372,12968,14524,13967,14558,14960,14237,14182,15333,14950,14492,13335,14427,13763
94,3,6,3,-,保健医療用品・器具,29096,26790,25426,27273,26205,27201,25978,25733,26671,27163,25822,25553,25952,26354,27353,25276,25553,26355,27206,30197,36264,33743
95,3,6,4,-,保健医療サービス,76790,79029,80363,86230,84402,90994,93617,98340,91736,92290,83159,85834,85348,84830,85807,84915,85989,84875,89633,93565,89034,93293
96,2,7,-,-,交通・通信,438748,440263,441449,451081,469820,466183,456161,459123,471901,458842,469408,439960,482988,499444,505215,485079,470775,478561,507162,525768,479658,477338
97,3,7,1,-,交通,83513,80802,78131,77199,79272,77344,72531,72483,71376,68323,64086,61466,66508,68525,66238,68017,64898,65678,66895,73217,37502,40417
98,3,7,2,-,自動車等関係費,240842,239525,236695,239644,254029,253764,244185,245395,257464,246695,261165,235326,272111,285431,289502,263629,248353,253574,279422,289359,280375,277431
99,4,7,2,1,自動車等購入,78697,79332,68630,70898,81602,67422,57116,57112,60113,67112,71304,51152,76570,84607,87909,75429,72755,70348,78612,82371,88533,76460
100,4,7,2,2,自転車購入,3580,2697,2824,2730,2672,2450,2568,2955,2843,3066,3083,3062,3103,3385,3538,3382,3685,3988,3543,4268,4078,4168
101,4,7,2,3,自動車等維持,158564,157495,165241,166016,169755,183891,184500,185328,194508,176516,186777,181112,192437,197439,198055,184817,171914,179239,197267,202721,187763,196803
102,3,7,3,-,通信,114393,119936,126623,134238,136519,135075,139445,141246,143061,143825,144157,143168,144370,145489,149475,153433,157523,159309,160845,163191,161781,159490
103,2,8,-,-,教育,167089,155231,154285,156189,158781,149746,151825,153008,152757,154923,140822,139609,139350,138483,131262,131964,135746,132801,141451,137937,123514,142854
104,3,8,1,-,授業料等,124925,118137,117865,120944,120813,115284,114957,118028,117864,118041,105274,104130,103327,102071,96286,98382,103052,99038,106283,103466,88562,107083
105,3,8,2,-,教科書・学習参考教材,4443,4005,4055,3622,3642,3789,3428,3088,3331,3334,2913,3046,2703,2626,2466,2658,2539,2264,2173,2672,2604,2613
106,3,8,3,-,補習教育,37722,33089,32365,31623,34326,30673,33440,31893,31562,33548,32635,32433,33320,33786,32510,30923,30154,31499,32995,31799,32348,33158
107,2,9,-,-,教養娯楽,403055,394016,387733,376213,388807,384890,378703,390108,395487,393079,400153,364711,358947,364329,366514,357889,354341,352292,349000,368150,299844,303027
108,3,9,1,-,教養娯楽用耐久財,42622,41706,38113,35373,36665,39824,39340,41670,42150,48162,57881,37468,23210,22092,25418,20479,20600,20975,20831,24708,28844,28516
109,3,9,2,-,教養娯楽用品,91549,89393,87937,84872,83349,81424,82821,84325,84856,84530,81570,78220,78022,80632,81420,81216,79607,79781,81535,85397,84425,84037
110,3,9,3,-,書籍・他の印刷物,54742,53873,56603,55386,55463,54821,52865,52015,51638,50888,49543,48397,47625,46722,45862,44727,43223,41835,40506,40559,39692,39521
111,3,9,4,-,教養娯楽サービス,214142,209045,205080,200581,213330,208822,203676,212098,216844,209499,211159,200625,210090,214884,213815,211467,210912,209701,206128,217485,146882,150953
112,4,9,4,1,宿泊料,22036,20264,21348,21448,21405,20469,19996,20903,21898,20253,20528,20225,20870,22519,23169,24110,23235,23257,23927,26810,12581,14723
113,4,9,4,2,パック旅行費,70794,66103,59834,54251,60301,59415,58223,59041,58828,53144,54360,47813,51653,54797,53280,50119,46908,46322,43760,45999,12660,8105
114,4,9,4,3,月謝類,43847,44941,42713,41941,43150,40531,37477,39737,37969,38076,38436,36586,38124,37262,36324,37036,35557,35805,35272,36280,28380,30709
115,4,9,4,4,他の教養娯楽サービス,77465,77737,81185,82941,88474,88407,87980,92417,98149,98027,97835,96002,99443,100306,101042,100201,105213,104318,103170,108397,93260,97417
116,2,10,-,-,その他の消費支出,835862,804154,796039,770573,776049,761997,737245,748691,724741,698650,681584,665304,655133,658147,637378,615348,602341,605970,601043,610115,565055,568108
117,3,10,1,-,諸雑費,239095,236118,252278,246591,253475,266682,256227,277280,273961,275762,275842,271853,276656,287416,290311,280309,280739,285454,283600,289712,285815,290930
118,4,10,1,1,理美容サービス,37714,36570,36926,36438,36393,35881,35827,36258,35903,35189,34961,34405,35671,35938,36588,36647,36450,36137,35667,37589,34111,35715
119,4,10,1,2,理美容用品,44713,43122,45796,45540,45062,46953,45335,47266,47955,48417,49599,49763,50318,51788,51385,50897,51365,52041,53248,56755,56098,55685
120,4,10,1,3,身の回り用品,27555,26938,26602,24977,24345,25756,24286,25614,23691,23607,22591,21044,21910,24760,24740,23654,22028,22758,21498,23721,20161,19313
121,4,10,1,4,たばこ,14465,13641,13066,13033,12360,12780,12195,12347,12549,12001,12121,12455,12637,12593,12073,11836,11701,10197,10855,11883,13268,14271
122,4,10,1,5,他の諸雑費,114649,115847,129889,126602,135314,145312,138584,155794,153863,156548,156570,154187,156120,162338,165525,157275,159195,164322,162332,159764,162178,165946
123,3,10,2,-,こづかい(使途不明),259812,241845,228103,217954,210336,204255,191876,182464,177053,161664,155605,147644,136465,133136,124416,116845,109730,107908,106188,111665,97302,84931
124,3,10,3,-,交際費,224907,222926,218942,214018,213214,201107,195012,205397,192794,185122,174374,174995,171093,166914,154052,151026,144289,144958,141499,142851,119320,117894
125,4,10,3,6,贈与金,178835,178498,174451,167335,164852,155420,154119,161463,150831,142475,131906,135103,131534,130902,120382,118084,112017,112152,101879,102003,77792,75784
126,4,10,3,7,他の交際費,46072,44427,44491,46683,48362,45687,40893,43934,41964,42647,42469,39893,39559,36012,33670,32942,32273,32806,39621,40849,41527,42110
127,3,10,4,-,仕送り金,112048,103265,96716,92010,99025,89953,94131,83550,80932,76102,75763,70812,70918,70681,68599,67168,67583,67650,69756,65887,62618,74352
128,-,-,-,-,財・サービス支出計,3211169,3140613,3127678,3098113,3113128,3111061,3058298,3101970,3112408,3077960,3077188,3002136,3055550,3114723,3147255,3113443,3064654,3075814,3130339,3200144,3055873,3071109
129,-,-,-,-,財(商品),1899533,1859037,1828470,1805933,1797475,1790571,1762539,1770060,1798108,1765572,1778067,1731392,1761113,1804039,1835411,1797711,1762906,1768087,1802236,1842839,1874124,1852885
130,-,-,-,-,耐久財,220300,220998,206683,207418,211772,206878,188993,192506,196680,207213,226113,188863,198013,212536,217683,195686,193670,190876,202331,218808,233489,221669
131,-,-,-,-,半耐久財,340252,322256,315205,304276,297917,296678,287450,290230,287534,276664,269661,264419,270296,277982,281845,272433,260614,262662,266411,273837,247676,247052
132,-,-,-,-,非耐久財,1338981,1315783,1306582,1294239,1287785,1287015,1286097,1287324,1313894,1281695,1282294,1278110,1292804,1313521,1335884,1329593,1308623,1314549,1333494,1350194,1392958,1384163
