二人以上の世帯_支出金額[円],,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年
表側連番,階層,大分類,中分類,小分類,品目分類,(平成12年),(平成13年),(平成14年),(平成15年),(平成16年),(平成17年),(平成18年),(平成19年),(平成20年),(平成21年),(平成22年),(平成23年),(平成24年),(平成25年),(平成26年),(平成27年),(平成28年),(平成29年),(平成30年),(令和元年),(令和２年),(令和３年)
154,-,-,-,-,交通・通信(財・サービス),438748,440263,441449,451081,469820,466183,456161,459123,471901,458842,469408,439960,482988,499444,505215,485079,470775,478561,507162,525768,479658,477338
155,-,-,-,-,耐久財(交通・通信),85704,85945,75005,77308,87346,72732,62382,63432,66154,73305,77840,57226,83050,91196,94728,81998,80024,78417,86695,92356,98265,87892
156,-,-,-,-,半耐久財(交通・通信),16866,15917,16570,16789,17975,19010,17932,18501,20958,21273,22489,20339,24024,25343,26046,23034,22445,23580,27339,30249,29648,30347
157,-,-,-,-,非耐久財(交通・通信),52426,52692,52823,55945,59216,64980,70631,71988,80443,61520,69127,71250,72013,76137,75553,62203,52569,58135,67322,66293,52096,59446
158,-,-,-,-,サービス(交通・通信),283752,285709,297051,301039,305284,309461,305217,305203,304346,302744,299953,291145,303902,306768,308889,317843,315737,318429,325806,336870,299649,299652
159,-,-,-,-,教育(財・サービス),167089,155231,154285,156189,158781,149746,151825,153008,152757,154923,140822,139609,139350,138483,131262,131964,135746,132801,141451,137937,123514,142854
160,-,-,-,-,非耐久財(教育),4443,4005,4055,3622,3642,3789,3428,3088,3331,3334,2913,3046,2703,2626,2466,2658,2539,2264,2173,2672,2604,2613
161,-,-,-,-,サービス(教育),162647,151226,150230,152567,155139,145957,148398,149920,149426,151589,137910,136563,136647,135857,128796,129305,133206,130537,139278,135265,120911,140241
162,-,-,-,-,教養娯楽(財・サービス),403055,394016,387733,376213,388807,384890,378703,390108,395487,393079,400153,364711,358947,364329,366514,357889,354341,352292,349000,368150,299844,303027
163,-,-,-,-,耐久財(教養娯楽),40534,39909,36421,33522,34739,38138,37550,40055,40405,46685,56336,36006,22115,20760,24112,19230,19540,19832,19812,23748,27949,27557
164,-,-,-,-,半耐久財(教養娯楽),49748,47806,47131,44395,44909,43845,43886,44265,44701,43353,41824,39384,39164,40206,39542,43360,41398,41097,41948,43823,43077,43538
165,-,-,-,-,非耐久財(教養娯楽),96376,95299,97255,95713,93703,87699,86651,86337,86339,86390,83521,81599,80820,80900,81107,73489,72033,70595,69450,70607,70033,68649
166,-,-,-,-,サービス(教養娯楽),216397,211002,206925,202583,215456,215209,210616,219451,224042,216652,218473,207722,216848,222463,221753,221809,221369,220767,217790,229971,158785,163283
167,-,-,-,-,諸雑費(財・サービス),239095,236118,252278,246591,253475,266682,256227,277280,273961,275762,275842,271853,276656,287416,290311,280309,280739,285454,283600,289712,285815,290930
168,-,-,-,-,耐久財(諸雑費),8779,9003,10722,10621,7459,10885,7228,8504,8219,7808,7596,7987,6970,10382,7705,9064,7049,6988,7419,8273,5912,7538
169,-,-,-,-,半耐久財(諸雑費),26455,25457,25884,24755,23899,25087,23751,25308,23583,23323,22509,21382,22443,23941,24314,22426,21988,22472,21214,22902,20392,18778
170,-,-,-,-,非耐久財(諸雑費),55806,53709,55257,54592,54053,56413,54404,56003,56825,56821,58077,58407,59069,60472,59769,59078,59171,57997,60369,64552,64609,65078
171,-,-,-,-,サービス(諸雑費),148055,147949,160414,156623,168064,174296,170845,187464,185333,187811,187660,184077,188173,192622,198523,189742,192530,197997,194598,193986,194902,199536
172,-,-,-,-,調整集計世帯数,733782,729267,724848,727706,726469,723846,719216,718122,715636,705361,704307,707221,703042,700235,692457,683805,677432,674034,671408,662947,651957,645841
173,-,-,-,-,教養娯楽関係費,445830,434288,427938,414681,429874,425213,415223,425851,430395,426733,432356,396047,392224,397894,397784,389815,384734,383828,380195,402477,310834,313298
174,-,-,-,-,耐久財(教養娯楽関係費),43437,42724,39560,35587,37007,40225,39364,41701,41971,48548,57432,36957,23455,21976,24748,20457,20750,20810,20506,24545,28354,27859
175,-,-,-,-,他の教養娯楽関係費,402394,391564,388378,379093,392867,384988,375858,384150,388424,378185,374925,359090,368769,375919,373036,369358,363984,363017,359689,377931,282481,285439
176,-,-,-,-,読書,54742,53873,56603,55386,55463,54821,52865,52015,51638,50888,49543,48397,47625,46722,45862,44727,43223,41835,40506,40559,39692,39521
177,-,-,-,-,聴視・観覧,27868,28761,30222,30443,31430,31379,30745,32361,33653,33608,34601,33171,34534,35044,35550,35434,36696,36990,36581,37432,32543,32481
178,-,-,-,-,旅行,134141,127041,120147,114101,121830,119137,114928,117248,116864,107552,108717,100788,107407,112957,110330,108840,103015,103618,100801,109876,39020,38007
179,-,-,-,-,スポーツ,33482,32669,29729,28388,29925,29548,30279,30675,32307,32148,29318,28953,29919,32346,31515,32750,33490,31468,32838,36125,29242,29674
180,-,-,-,-,月謝,39616,39362,37755,37600,39066,37015,34253,35601,33988,34583,34475,33519,34764,33583,33188,33084,32416,33148,32797,32940,25184,26276
181,-,-,-,-,会費・つきあい費,18236,16958,16641,15535,15957,15153,13390,13081,13436,13144,12889,12273,12204,11633,11018,10969,9961,9337,9693,10065,8650,7391
182,-,-,-,-,その他の教養娯楽,94309,92900,97282,97641,99196,97934,99398,103170,106538,106262,105381,101988,102316,103634,105573,103555,105182,106622,106473,110934,108148,112089
183,-,-,-,-,消費支出(再掲),3807937,3708649,3671438,3622095,3635703,3606377,3539316,3573382,3563187,3500848,3482930,3395587,3434026,3485454,3494322,3448482,3386257,3396330,3447782,3520547,3335114,3348287
184,-,-,-,-,基礎的支出,2162294,2130836,2133327,2123189,2107355,2058487,2038681,2054618,2047935,1998544,1919849,1910114,1904710,1926383,1937633,2012797,1965938,1969461,1980327,2002085,1986687,1989691
185,-,-,-,-,選択的支出,1645643,1577813,1538112,1498906,1528347,1547889,1500636,1518763,1515252,1502304,1563081,1485473,1529317,1559071,1556690,1435685,1420319,1426868,1467455,1518463,1348427,1358596
